date,open,close,high,low,volume
2024-10-04,278.7,277.2,281.9,273.55,17451235
2024-10-07,277.4,267.35,278.9,265.0,21704629
2024-10-08,267.0,280.25,281.5,265.55,29190708
2024-10-09,282.0,282.4,286.6,278.5,18984175
2024-10-10,283.95,286.9,289.6,283.4,19155691
2024-10-11,287.2,285.9,288.65,284.15,9677338
2024-10-14,286.1,285.7,289.2,284.65,11386559
2024-10-15,287.15,288.85,289.45,285.75,14701531
2024-10-16,288.15,285.7,291.05,284.75,11835439
2024-10-17,286.05,284.55,287.9,281.7,11695551
2024-10-18,282.9,287.15,287.8,277.8,10095514
2024-10-21,286.3,282.3,287.45,281.1,8393942
2024-10-22,282.0,271.65,282.15,270.65,15240897
2024-10-23,271.0,268.65,274.7,266.3,13503954
2024-10-24,269.0,271.35,273.15,268.35,10700271
2024-10-25,271.0,272.35,276.0,257.45,40406841
2024-10-28,276.7,270.05,277.95,267.4,24479817
2024-10-29,271.2,283.65,284.5,270.85,34271117
2024-10-30,283.45,288.55,294.75,282.05,40787587
2024-10-31,287.95,284.9,288.45,283.75,18720310
2024-11-01,286.65,288.65,290.25,286.0,5265231
2024-11-04,289.0,284.15,289.0,280.3,15157659
2024-11-05,282.5,286.35,287.2,277.15,18761867
2024-11-06,287.5,301.85,304.3,287.2,52804364
2024-11-07,301.0,300.35,302.0,296.1,24357430
2024-11-08,300.35,297.75,304.5,295.75,22935845
2024-11-11,297.5,299.75,303.8,294.4,20155408
2024-11-12,300.0,290.15,300.85,287.3,14292965
2024-11-13,288.0,281.55,288.85,279.45,20001842
2024-11-14,282.0,280.95,284.45,275.5,20541591
2024-11-18,283.0,278.05,286.7,277.25,13000137
2024-11-19,280.0,279.0,285.2,277.0,13160982
2024-11-21,278.45,275.45,278.45,270.25,14858108
2024-11-22,276.0,280.85,283.5,275.5,13268900
